user_id,pss_q1,pss_q2,pss_q3,pss_q4,pss_q5,pss_q6,pss_q7,pss_q8,pss_q9,pss_q10,total_pss,heart_rate,hrv_sdnn,sleep_hours,sleep_efficiency,physical_activity_min,work_hours,screen_time_hours,breaks_per_day,sentiment_score,anxiety_score,stress_level
USR-1000,2,3,3,4,3,2,3,3,3,4,20,74.3,30.9,6.4,77.8,43.0,10.4,5.7,4.0,0.17,5.3,2
USR-1001,4,3,1,2,0,3,2,2,2,0,23,90.8,44.2,6.7,73.4,14.0,7.4,5.5,4.0,-0.33,4.9,2
USR-1002,3,1,4,3,1,3,2,3,0,4,22,87.6,48.3,7.2,68.3,39.0,8.9,6.6,3.0,-0.29,6.1,1
USR-1003,3,3,3,2,3,0,3,0,4,2,23,83.8,42.0,6.2,75.3,2.0,10.1,7.0,3.0,-0.13,6.0,2
USR-1004,1,3,1,3,2,1,4,1,4,2,18,74.0,62.1,4.9,88.9,29.0,10.8,5.1,3.0,0.15,3.9,1
USR-1005,1,3,4,2,4,1,1,2,2,1,19,82.6,50.0,7.2,84.2,44.0,8.8,6.9,5.0,0.27,5.3,1
USR-1006,0,4,2,2,2,1,2,4,3,4,20,71.8,58.8,8.5,77.9,37.0,8.3,5.3,4.0,-0.16,6.9,1
USR-1007,4,0,0,3,4,3,4,0,2,3,17,80.3,48.9,6.7,80.8,20.0,11.0,4.6,4.0,-0.01,4.5,1
USR-1008,3,3,3,2,2,2,3,0,2,4,26,87.4,54.8,5.0,69.1,17.0,10.9,7.6,3.0,-0.23,7.2,3
USR-1009,3,0,1,3,4,1,1,1,0,3,15,72.4,51.0,7.7,79.0,12.0,9.9,6.2,4.0,0.1,2.5,0
USR-1010,0,2,3,2,4,0,3,3,2,1,12,76.2,46.3,8.8,83.7,30.0,6.3,3.9,3.0,0.54,3.9,0
USR-1011,4,2,3,2,2,1,4,2,3,2,21,76.1,63.6,7.1,77.0,43.0,9.8,4.9,4.0,-0.05,5.0,1
USR-1012,3,2,4,0,4,4,3,3,0,2,21,72.0,46.9,8.0,81.3,30.0,7.9,7.4,3.0,0.0,5.2,1
USR-1013,1,2,2,0,4,2,3,0,3,3,22,84.1,66.6,7.2,80.3,37.0,7.7,5.6,3.0,0.12,6.2,1
USR-1014,1,3,2,1,1,4,1,1,4,4,30,85.8,47.0,6.4,72.1,26.0,11.2,6.8,2.0,0.02,7.2,3
USR-1015,1,2,3,0,3,4,4,2,1,2,20,80.5,61.3,6.3,72.0,38.0,9.8,5.2,4.0,-0.01,4.0,1
USR-1016,2,3,1,1,0,2,2,3,1,3,22,88.4,60.9,6.8,70.7,48.0,8.7,7.1,4.0,0.19,6.9,2
USR-1017,2,2,2,3,3,3,4,3,3,4,19,73.0,57.2,6.8,73.3,36.0,10.6,7.5,4.0,0.4,3.9,1
USR-1018,2,0,2,0,1,1,2,1,1,1,19,75.9,57.2,6.8,78.9,50.0,8.4,5.4,4.0,0.01,4.4,1
USR-1019,2,3,0,3,0,3,0,4,1,4,22,87.1,62.8,6.4,65.4,6.0,9.0,8.2,2.0,-0.17,5.8,1
USR-1020,3,2,2,1,2,1,2,2,2,2,21,81.7,54.6,6.8,76.2,50.0,9.1,5.1,4.0,0.41,5.6,1
USR-1021,1,2,4,4,3,3,1,3,2,3,20,74.0,49.2,5.7,84.0,22.0,8.7,5.2,3.0,0.22,5.6,2
USR-1022,2,3,4,2,4,0,3,2,4,2,20,72.7,59.7,7.4,80.3,25.0,10.5,6.2,4.0,0.0,5.4,1
USR-1023,2,2,0,2,4,3,4,1,3,2,17,72.2,41.8,6.3,77.5,32.0,7.3,4.3,3.0,0.22,5.5,1
USR-1024,2,0,0,2,2,0,3,4,2,0,9,64.2,79.3,7.5,81.8,63.0,6.4,4.8,5.0,0.12,3.3,0
USR-1025,3,2,1,2,0,4,4,3,2,4,23,81.3,62.0,6.8,78.8,23.0,8.0,5.4,3.0,0.13,4.9,1
USR-1026,1,4,4,3,3,2,2,2,4,3,24,81.4,59.6,5.7,75.5,25.0,11.9,4.5,2.0,-0.48,4.0,2
